_id,Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
1,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1994,71,28,35,55,113,193,298,431,615,1006,1392,2013,2891,3702,4382,3353,2865,1558,595,25596,22.03483987,8.593174564,10.88450606,17.95302835,30.3982439,47.48793733,73.66719239,118.0592268,183.776289,293.4972561,483.3282987,732.2529601,1108.142606,1540.035942,2022.52377,2429.798181,2713.14526,2875.918337,2646.561694,501.6649648,495.5377863,507.8489897,660.7111731,651.9596249, ,669.520261, ,298.2963397,294.3615227, ,302.2569201, ,100, 
2,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1995,56,39,40,51,95,189,301,425,580,1026,1423,2057,2901,3690,4318,3450,2883,1603,610,25737,17.5920283,12.022899,12.47438852,16.56710163,26.58978952,47.46072562,73.7069451,113.3650756,172.7609584,292.5310493,490.5238919,746.5422067,1117.522882,1535.305792,2047.211989,2379.08064,2713.284081,2866.236344,2587.925841,504.2821958,498.1398948,510.4813265,655.1760991,646.6140247, ,663.7937091, ,296.9889074,293.0761111, ,300.9272915, ,100, 
3,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1996,58,19,28,55,106,213,302,459,614,1120,1633,2168,2905,3971,4490,3853,2972,1607,678,27251,18.70466939,5.872535081,8.772836791,17.71638959,31.13553652,54.41669392,74.26953941,120.1155622,180.68655,315.3392854,550.5601688,794.1421031,1122.865878,1660.089296,2153.188061,2547.724372,2831.150274,2833.215797,2783.708326,535.1528517,528.8176551,541.545003,690.3288174,681.5824667, ,699.130158, ,312.9654523,308.9592011, ,316.997154, ,100, 
4,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,57,38,38,57,113,194,316,426,607,1068,1577,2105,2791,3645,4143,4000,2767,1571,685,26198,18.83021423,11.73654544,11.86873183,18.0818059,35.0875014,51.18868572,77.87471043,109.6350132,174.7205048,313.9818961,495.581562,770.4639621,1081.514663,1519.326078,2010.716054,2525.156875,2712.93128,2724.356195,2739.233015,515.3698159,509.1477736,521.6489143,656.7512312,648.2958734, ,665.2606138, ,298.2625818,294.3529018, ,302.1976988, ,100, 
5,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,59,25,35,57,89,176,305,456,647,912,1621,2094,2756,3635,4247,3919,2579,1489,657,25758,19.9061375,7.795398844,10.82304629,17.90673419,28.76135508,48.44067806,75.81764985,115.6429979,182.2027097,272.8921178,491.0811662,757.4880625,1057.96139,1516.067816,2064.466578,2382.327374,2636.636882,2537.015897,2518.495803,507.3398633,501.1628309,513.5740233,638.5920089,630.3561644, ,646.8805675, ,291.289675,287.4445745, ,295.1599693, ,100, 
6,S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,56,28,31,51,90,179,302,421,631,924,1665,2080,2839,3509,4123,4022,2514,1711,670,25846,19.28965833,8.792589103,9.549656674,16.05414339,29.2795284,51.72991781,76.16472766,105.491047,173.7746273,277.8395867,492.6079226,740.8172496,1082.059687,1469.990658,2004.268124,2363.602172,2664.490419,2897.986145,2472.780956,509.5870425,503.3931893,515.8380807,635.8157826,627.6568101, ,644.0267141, ,289.185872,285.3669407, ,293.0298363, ,100, 
7,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,44,35,27,47,99,187,299,441,659,983,1710,2118,2922,3456,4124,4019,2717,1574,707,26168,15.53601,11.16990381,8.362136247,14.78470946,31.97622777,56.67147516,77.3143228,109.4135335,177.4826019,294.8799482,494.4154188,748.4284064,1110.030543,1448.218641,1996.379022,2418.505569,2705.23224,2651.393919,2498.586373,516.8538438,510.6103198,523.1546539,637.0796164,628.9985076, ,645.2115923, ,291.0725418,287.2503451, ,294.9196508, ,100, 
8,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,56,31,36,51,113,156,280,420,661,922,1675,2217,2886,3558,4109,3972,2694,1608,746,26191,20.27068605,10.13691373,11.14816845,16.05768171,35.82808859,49.54189625,73.44512731,104.1584001,174.4578873,272.6133031,477.3670996,764.1191433,1103.417689,1485.818328,1983.318692,2398.319003,2538.420224,2706.660607,2538.710226,517.1794163,510.9346949,523.4814094,630.9092369,622.9341522, ,638.9343461, ,288.9609175,285.1548515, ,292.791867, ,100, 
9,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,62,39,51,61,106,169,296,435,728,959,1646,2244,2985,3632,4136,4032,2976,1472,738,26767,22.98134804,12.98524011,15.78976699,19.14662549,32.79946531,56.0738981,79.86293793,108.0203227,188.5101997,277.0107107,488.4070098,719.350661,1138.539466,1515.85344,1976.951499,2452.763617,2658.424598,2535.745047,2487.360971,528.3655744,522.0545968,534.7338021,638.3563605,630.380545, ,646.3816223, ,293.8716064,290.0294516, ,297.7386939, ,100, 
10,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,58,43,38,78,96,144,298,454,674,1042,1539,2291,2958,3661,4233,4086,3127,1515,798,27133,21.87655588,14.53920853,11.87377552,24.3049713,29.22463393,49.11691873,83.10488785,113.4030404,171.5575851,294.6565922,464.1889813,707.1205901,1114.099116,1511.442125,2013.652689,2482.698279,2690.795192,2732.191163,2672.740061,535.3260333,528.9750619,541.7342258,642.3180321,634.3375254, ,650.3477363, ,292.9087592,289.099392, ,296.7427152, ,100, 
